Comment,Designator,Footprint,LCSC Part #
0.1uF,Q1 C10,C0603,
1K,R2,R0603,
1k,R9,R0603,
1uF,L1 L2,LQH5BPB100MT0L,
2.2uF,C3 C5,C0603,
3k,R5,R0603,
4.7uF,C13,C0603,
4.53k,R13,R0603,
5.6V,Z1,SOD3716X135N,
10k,R8 R10,R0603,
10nF,C9,C0603,
10uF,C4 C7,C1210,
10uF,C8 C12,C0603,
13.3k,R1,R0603,
22.6k,R12,R0603,
33uF,C11,CAPAE660X550N,
47nF,C6,C0603,
47uF,C1 C2,CAPAE660X800N,
200k,R4 R7,R0603,
220,R11,R0603,
887k,R6,R0603,
2305018-2,J2,TE_2305018-2,
BQ25300RTER,Z2,QFN50P300X300X80-17N,
DF01S-T,BR1 BR2,SOP510P1040X293-4N,
LED_BLUE,DL1,CHIP-LED0603,
MIC2545,U$1,SOIC127P599X173-8N,
TPS61253YFFT,IC2,BGA9C40P3X3_121X131X62,
TUSB319IDRFRQ1,IC1,SON50P200X200X80-9N,
