Designator,Mid X,Mid Y,Layer,Rotation
BR1,13.01,16.97,Top,180.0
BR2,13.01, 4.83,Top,180.0
C1,23.28,16.38,Top,90.0
C2,23.28, 5.66,Top,270.0
C3,30.80, 6.71,Top,180.0
C4,30.79,10.63,Top,90.0
C5,30.80, 4.65,Top,180.0
C6,34.00, 9.86,Top,90.0
C7,39.80, 5.61,Top,180.0
C8,44.03, 3.72,Top,0.0
C9,44.03, 1.62,Top,0.0
C10,50.40,14.94,Top,90.0
C11,42.50,17.62,Top,0.0
C12,30.47,20.06,Top,180.0
C13,30.47,15.33,Top,180.0
DL1,35.92, 1.66,Top,180.0
IC1,50.98,11.01,Top,270.0
IC2,30.54,17.70,Top,270.0
J2,58.50,11.00,Top,90.0
L1,37.95, 9.95,Top,0.0
L2,34.76,17.60,Top,270.0
Q1,48.91, 2.63,Top,270.0
R1,30.80, 1.82,Top,0.0
R2,33.86, 1.80,Top,0.0
R4,48.66,18.47,Top,270.0
R5,52.72,18.47,Top,90.0
R6,54.75,18.47,Top,90.0
R7,50.11, 6.21,Top,90.0
R8,50.69,18.47,Top,90.0
R9,52.37, 1.67,Top,0.0
R10,47.33, 6.48,Top,180.0
R11,44.03, 5.78,Top,0.0
R12,28.26, 3.74,Top,90.0
R13,28.26, 6.76,Top,270.0
U$1,45.29,10.47,Top,0.0
Z1,13.69,10.83,Top,180.0
Z2,34.92, 5.09,Top,0.0
